decision	eiti_name	hq_country	subsidiaries	method	lei	gleif_legal_name	gleif_country	flag	note
reject	Lundin Foundation		0	candidates_only	529900F37KHBWV2UWE61	"THE ADOLF H. LUNDIN CHARITABLE FOUNDATION
"	LI		no exact match — paste one LEI if right: 529900F37KHBWV2UWE61 THE ADOLF H. LUNDIN CHARITABLE FOUNDATION (LI)
accept	Maaden		0	candidates_only	254900OW5CGM4QZ2C828	"Maaden Gold and Base Metals Company (MGBM)
"			no exact match — paste one LEI if right: 254900ZNAZ7F402M2E04 Maaden Invest Limited (KY); 254900OW5CGM4QZ2C828 Maaden Gold and Base Metals Company (MGBM) (SA)
reject	Minera San Cristobal	BOL	0	candidates_only					no GLEIF candidate
accept	Minsur	PER	7	candidates_only	254900C69MVC7SXO2G61	MINSUR S. A.	PE		no exact match — paste one LEI if right: 254900C69MVC7SXO2G61 MINSUR S. A. (PE)
accept	Mitsubishi Materials	JPN	0	candidates_only	35380076QOBOSOUBRT89	三菱マテリアル株式会社	JP		no exact match — paste one LEI if right: 5493000VL2IJUFW1KL03 Mitsubishi Materials U.S.A. Corporation (US); 35380076QOBOSOUBRT89 三菱マテリアル株式会社 (JP); 959800YQB7RZU5G5X794 MITSUBISHI MATERIALS ESPAÑA SA (ES) [under 三菱マテリアル株式会社]
accept	MMG	AUS	5	candidates_only	254900O793GLW134N398	"MMG Australia Limited
"	AU		no exact match — paste one LEI if right: 254900O793GLW134N398 MMG Australia Limited (AU); 875500PF5X39TSD5SQ50 MMG Dugald River Pty Ltd (AU) [under 五礦資源有限公司]
reject	NBIM		0	candidates_only					no exact match — paste one LEI if right: 9695005ITM7V45HOOQ08 NBIM XAVIER SPPPICAV (FR); 549300NK0BDP04RPEJ32 NBIM KENDALL LP (US); 969500UAERCN3F305Z42 NBIM CLEMENT OPCI (FR)
reject	Neptune Energy	GBR	13	candidates_only					no exact match — paste one LEI if right: 549300CPMT8I2QBRYF88 ENI ENERGY BONDCO LIMITED (GB); 213800K5DFMGN4OKTP81 ENI ENERGY FINANCE LIMITED (GB); 213800NAB1BYAOHT3K37 ENI ENERGY GROUP HOLDINGS LIMITED (GB)
accept	NNPC Limited	NGA	35	candidates_only	9845007375EBB04C6F49	"NIGERIAN NATIONAL PETROLEUM COMPANY LIMITED
"	NG		no exact match — paste one LEI if right: 0292006506J2O5G9C721 NNPC GAS INFRASTRUCTURE COMPANY LIMITED (NG); 9845007375EBB04C6F49 NIGERIAN NATIONAL PETROLEUM COMPANY LIMITED (NG); 0292001724A0L2AE0A68 TOWER ASSETS MANAGEMENT LIMITED (NG)
reject	Nordea Group		0	candidates_only					no exact match — paste one LEI if right: 743700VPAG4ID0O2DE37 Väinö ja Laina Kiven Säätiö sr (FI); 54930022SYIK1N0I6B07 Nordea Bank Sveriges Pensionsstiftelse (SE); 743700WV1Z7DF3O88Q78 Nordea Pankki Suomen Maataloussäätiö sr (FI)
reject	OCP Group		1	candidates_only					no GLEIF candidate
reject	Orano Mining	FRA	12	candidates_only					no GLEIF candidate
reject	Pertamina	IDN	0	candidates_only	254900NDAKGNZ2IBBL45	"Pt Pertamina (Persero)
"	ID		no exact match — paste one LEI if right: 254900X2NUD6BMNZKP36 PT Kilang Pertamina Balikpapan (ID); 2549009CVV6Y7H26NV14 PT. Pertamina Geothermal Energy (ID); 894500V7UOKGFVZTE574 PT Pertamina Patra Niaga (ID)
reject	Poderosa		1	candidates_only					no exact match — paste one LEI if right: 815600B6B6601DC84C74 LA PODEROSA S.R.L. (IT); 98450041D7E0539X8F62 PODEROSA TRADING PTY LTD (AU); BRQ64VUVCP5MRGM53D87 CIA MINERA PODEROSA S.A. (PE)
reject	Polyus		0	candidates_only					no exact match — paste one LEI if right: 894500RFKWAGJW0UB774 Polyus Plus OÜ (EE); 213800HCOQ58JPSI1W14 POLYUS CAPITAL PLC (GB); 213800HYXYT461CS2B79 POLYUS FINANCE PLC (GB)
accept	QatarEnergy	QAT	0	candidates_only	254900QTESJKJ3P87J26	قطر للطاقة	QA		no exact match — paste one LEI if right: 276376SDRVXREI1OYG60 QatarEnergy LNG (QA); 9845006AC7F8090DDB79 قطر للطاقة للتجارة ذ.م.م (QA); 254900QTESJKJ3P87J26 قطر للطاقة (QA)
reject	Quatar Energy	QAT	4	candidates_only		قطر للطاقة	QA		no GLEIF candidate
reject	Santos (Previously Oil Search Limited)		0	candidates_only					no GLEIF candidate
reject	Southern Copper - Peru		0	candidates_only					no exact match — paste one LEI if right: 2549005L971K2B31VO17 SOUTHERN PERU COPPER CORPORATION SUCURSA L DEL PERU (PE)
