start_key,end_key,type,ordinal
XI-LEI-549300MG5Q5VOTHPK831,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-549300MG5Q5VOTHPK831,fd0e6895c2b36ff8b7ccd53e9d041094,business,1
XI-LEI-54930021X63HYEU9MP82,c88643efeefc7355f601c56af2f9f5ed,registered,0
XI-LEI-54930021X63HYEU9MP82,391315c66d5d2dc6d16edd3b284c0e54,business,1
XI-LEI-549300H667FIK5PZPV54,ab90d84163257648863384b355e22005,registered,0
XI-LEI-549300H667FIK5PZPV54,ae47f429a8056c5c911804a956693e56,business,1
XI-LEI-549300I2A60VQH7OB113,102060f3a1aa7fd3d117681b11cab8c5,registered,0
XI-LEI-549300I2A60VQH7OB113,391315c66d5d2dc6d16edd3b284c0e54,business,1
XI-LEI-25490089CK3WJ7YXI372,7d74a50fd57e5d19115d93f29aa43724,registered,0
XI-LEI-25490089CK3WJ7YXI372,cd5fbb7a442edb46de483dfe65d623eb,business,1
XI-LEI-549300KRU5NMN907SV73,18b14d78f3784350b9066d585ee309cf,registered,0
XI-LEI-549300KRU5NMN907SV73,18b14d78f3784350b9066d585ee309cf,business,1
XI-LEI-5493009NTB34VXE1T760,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-5493009NTB34VXE1T760,20a5436cd251c2cae55aa689c3c37868,business,1
XI-LEI-213800LH1BZH3DI6G760,b557a680fdb9f267bf0f71b7d642586e,registered,0
XI-LEI-213800LH1BZH3DI6G760,b557a680fdb9f267bf0f71b7d642586e,business,1
XI-LEI-5493003MXD0BNIYC0G95,701de2c584197310451df94801867998,registered,0
XI-LEI-5493003MXD0BNIYC0G95,701de2c584197310451df94801867998,business,1
XI-LEI-5493004W2NT861NJ6M56,7789c246374b8a75ec375980d487ec91,registered,0
XI-LEI-5493004W2NT861NJ6M56,7789c246374b8a75ec375980d487ec91,business,1
XI-LEI-549300XGTG5OWOTI9S89,93d291dd200718e326abb9f4214bb086,registered,0
XI-LEI-549300XGTG5OWOTI9S89,f7c8e6f87a57f1a0eaab11d76aafe1e2,business,1
XI-LEI-549300GMUCJ08527GQ81,97233a9b2294707727c9bcb623d46a30,registered,0
XI-LEI-549300GMUCJ08527GQ81,391315c66d5d2dc6d16edd3b284c0e54,business,1
XI-LEI-549300GSGBIF7NMOUH71,18b14d78f3784350b9066d585ee309cf,registered,0
XI-LEI-549300GSGBIF7NMOUH71,18b14d78f3784350b9066d585ee309cf,business,1
XI-LEI-549300IZ83QL6OSB2R21,701de2c584197310451df94801867998,registered,0
XI-LEI-549300IZ83QL6OSB2R21,1eec9a98e79994f98ef2cb1101612c89,business,1
XI-LEI-549300JCMJLJPHUIZ827,664791bd2a4ef9b862d11af139ba79d8,registered,0
XI-LEI-549300JCMJLJPHUIZ827,23d9f037b90c5d61e37824e260bfc902,business,1
XI-LEI-549300IRCCFFAE30FT55,699f58736fa9118c7793e35ca12e4e31,registered,0
XI-LEI-549300IRCCFFAE30FT55,699f58736fa9118c7793e35ca12e4e31,business,1
XI-LEI-5493002S2FI7YB0RL442,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-5493002S2FI7YB0RL442,f2d991f136a1c5954a868e9ecbe5e548,business,1
XI-LEI-549300ELU6WABMM0EL36,c068ad6b0daee784dcb1d5d96f262e34,registered,0
XI-LEI-549300ELU6WABMM0EL36,c068ad6b0daee784dcb1d5d96f262e34,business,1
XI-LEI-549300RU6UYW1UMYOP92,19a46bb7bda8d7b92f1648c9259d0892,registered,0
XI-LEI-549300RU6UYW1UMYOP92,19a46bb7bda8d7b92f1648c9259d0892,business,1
XI-LEI-549300ZBE567NNMH7V89,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-549300ZBE567NNMH7V89,1acc7cf708e928ae478f3a99c937fd8c,business,1
XI-LEI-549300LN3X0K77Z2SO79,21a599d969fbb9e5b67207fc91e4bcb5,registered,0
XI-LEI-549300LN3X0K77Z2SO79,48a32254d3caa04276e5bad21b7f301c,business,1
XI-LEI-5493000JNUNFTCW6WF85,90ecf27f973cad2c079ae91ee7770dd1,registered,0
XI-LEI-5493000JNUNFTCW6WF85,90ecf27f973cad2c079ae91ee7770dd1,business,1
XI-LEI-549300B8RMOTK5QZWT61,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-549300B8RMOTK5QZWT61,618301cabbc185b370ae502be7bd0468,business,1
XI-LEI-549300DTMH2NWOI8O090,4e31165770a3625700543c5e78eb1eb7,registered,0
XI-LEI-549300DTMH2NWOI8O090,4e31165770a3625700543c5e78eb1eb7,business,1
XI-LEI-5493005ONGPJXD71UU22,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-5493005ONGPJXD71UU22,7d012dc9884a02d21730e10e623994c7,business,1
XI-LEI-5493000FX3G8YEXMXM78,3567c128c05206aa752c8abb66e254e1,registered,0
XI-LEI-5493000FX3G8YEXMXM78,3567c128c05206aa752c8abb66e254e1,business,1
XI-LEI-254900JJ39DUX0CTFU84,c0ee258e8792e5d1089ee0779e93590a,registered,0
XI-LEI-254900JJ39DUX0CTFU84,c0ee258e8792e5d1089ee0779e93590a,business,1
XI-LEI-549300BHBLZT38LP0T75,43004f730feb1f3c6f18c5e4d8b6b907,registered,0
XI-LEI-549300BHBLZT38LP0T75,43004f730feb1f3c6f18c5e4d8b6b907,business,1
XI-LEI-549300CBTY31RKLLW578,781a261af07a3a22cd07a80b664e8175,registered,0
XI-LEI-549300CBTY31RKLLW578,781a261af07a3a22cd07a80b664e8175,business,1
XI-LEI-549300CC4BI5U2VDJV83,d3e2931b9987e22c1d783a0d87c047d7,registered,0
XI-LEI-549300CC4BI5U2VDJV83,3567c128c05206aa752c8abb66e254e1,business,1
XI-LEI-549300CMZNMGCZJWCG08,c63bf8b46d4e673b7ba149143fcd1c7b,registered,0
XI-LEI-549300CMZNMGCZJWCG08,c63bf8b46d4e673b7ba149143fcd1c7b,business,1
XI-LEI-549300CRVT18MXX0AG93,8c27efb00e7779c7cba9506aca55e647,registered,0
XI-LEI-549300CRVT18MXX0AG93,8c27efb00e7779c7cba9506aca55e647,business,1
XI-LEI-549300CW7XPU9N2S3034,3567c128c05206aa752c8abb66e254e1,registered,0
XI-LEI-549300CW7XPU9N2S3034,3567c128c05206aa752c8abb66e254e1,business,1
XI-LEI-549300E0XYHGX3YQ0M28,8c27efb00e7779c7cba9506aca55e647,registered,0
XI-LEI-549300E0XYHGX3YQ0M28,8c27efb00e7779c7cba9506aca55e647,business,1
XI-LEI-549300EIY4CEHS3VR850,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-549300EIY4CEHS3VR850,7d012dc9884a02d21730e10e623994c7,business,1
XI-LEI-549300FCC78N6YBKPP79,e9f60bc58e842a154af7c1dfed9c63c8,registered,0
XI-LEI-549300FCC78N6YBKPP79,e9f60bc58e842a154af7c1dfed9c63c8,business,1
XI-LEI-549300SIG9E2EYEYJD24,6bf5dfca0f654fbe34f9718e590bd262,registered,0
XI-LEI-549300SIG9E2EYEYJD24,6bf5dfca0f654fbe34f9718e590bd262,business,1
XI-LEI-549300TDJC5X1HQFVS97,3503998fdccddecc29d2c0ccd07672ca,registered,0
XI-LEI-549300TDJC5X1HQFVS97,3503998fdccddecc29d2c0ccd07672ca,business,1
XI-LEI-549300U1FMIS4ZCKGM81,f515bc9e0d15bebaa9434eaedad506a1,registered,0
XI-LEI-549300U1FMIS4ZCKGM81,f515bc9e0d15bebaa9434eaedad506a1,business,1
XI-LEI-549300VA66S81U2FG151,ae47f429a8056c5c911804a956693e56,registered,0
XI-LEI-549300VA66S81U2FG151,ae47f429a8056c5c911804a956693e56,business,1
XI-LEI-549300WG1KHXYZK4FN31,8c27efb00e7779c7cba9506aca55e647,registered,0
XI-LEI-549300WG1KHXYZK4FN31,8c27efb00e7779c7cba9506aca55e647,business,1
