start_key,end_key,ordinal,isPrimary
GB-COH-05975475,GB-COH|05975475,0,true
GB-COH-12473084,GB-COH|12473084,0,true
GB-COH-12473751,GB-COH|12473751,0,true
GB-COH-SC057974,GB-COH|SC057974,0,true
GB-COH-SC077750,GB-COH|SC077750,0,true
GB-COH-07079191,GB-COH|07079191,0,true
GB-COH-13148646,GB-COH|13148646,0,true
GB-COH-11398848,GB-COH|11398848,0,true
GB-COH-03628497,GB-COH|03628497,0,true
GB-COH-11485932,GB-COH|11485932,0,true
GB-COH-07848449,GB-COH|07848449,0,true
GB-COH-02748866,GB-COH|02748866,0,true
GB-COH-10573435,GB-COH|10573435,0,true
GB-COH-10573715,GB-COH|10573715,0,true
GB-COH-04560068,GB-COH|04560068,0,true
GB-COH-04487223,GB-COH|04487223,0,true
GB-COH-06547400,GB-COH|06547400,0,true
GB-COH-15671911,GB-COH|15671911,0,true
GB-COH-16039527,GB-COH|16039527,0,true
GB-COH-11787488,GB-COH|11787488,0,true
GB-COH-11787495,GB-COH|11787495,0,true
GB-COH-16130095,GB-COH|16130095,0,true
GB-COH-16130094,GB-COH|16130094,0,true
GB-COH-14067214,GB-COH|14067214,0,true
GB-COH-14067273,GB-COH|14067273,0,true
GB-COH-00856444,GB-COH|00856444,0,true
GB-COH-12313114,GB-COH|12313114,0,true
GB-COH-12473113,GB-COH|12473113,0,true
GB-COH-11719194,GB-COH|11719194,0,true
GB-COH-06383221,GB-COH|06383221,0,true
GB-COH-03847957,GB-COH|03847957,0,true
GB-COH-16140733,GB-COH|16140733,0,true
GB-COH-01021007,GB-COH|01021007,0,true
GB-COH-02160234,GB-COH|02160234,0,true
GB-COH-15655085,GB-COH|15655085,0,true
GB-COH-00404347,GB-COH|00404347,0,true
GB-COH-11796185,GB-COH|11796185,0,true
GB-COH-00983913,GB-COH|00983913,0,true
GB-COH-01004984,GB-COH|01004984,0,true
GB-COH-08723444,GB-COH|08723444,0,true
GB-COH-08900469,GB-COH|08900469,0,true
GB-COH-03221603,GB-COH|03221603,0,true
